id,name,country,region_fullname,winary_fullname,url,bottle_url
2926593,Sauvignon Blanc,Germany,Pfalz,Ellermann-Spiegel,https://www.vivino.com/US-CA/en/sauvignon-blanc/w/2926593,https://images.vivino.com/thumbs/Tbf6YdSBSHy8gz8F7EUxOQ_pb_x600.png
4593733,Sauvignon Blanc Trocken,Germany,Pfalz,Weingut Metzger,https://www.vivino.com/US-CA/en/sauvignon-blanc-trocken/w/4593733,https://images.vivino.com/thumbs/NDivBcugTZq3xvyM7Vbj6w_pb_x600.png
5921535,Weißburgunder Muschelkalk,Germany,Baden,Enderle & Moll,https://www.vivino.com/US-CA/en/weissburgunder-muschelkalk/w/5921535,https://images.vivino.com/thumbs/oiZ-wx-iTYOxcxO8lfalUQ_pb_x600.png
2038665,Devon - S,Germany,Mittelrhein,Weingut Toni Jost,https://www.vivino.com/US-CA/en/devon-s/w/2038665,https://images.vivino.com/thumbs/XOqGAU6mSwuKbGfvATDCXA_pb_x600.png
2298876,Spätburgunder Rosé,Germany,Baden,Enderle & Moll,https://www.vivino.com/US-CA/en/spatburgunder-rose/w/2298876,https://images.vivino.com/thumbs/xjkUS0fQS2m2O7Z2V2F0vA_pb_x600.png
63674,Recher Herrenberg Spätburgunder,Germany,Ahr,Jean Stodden,https://www.vivino.com/US-CA/en/recher-herrenberg-spatburgunder/w/63674,https://images.vivino.com/thumbs/rY3zYrx_RKGz6Bm0WNDNvg_pb_x600.png
1852418,Muskateller Trocken,Germany,Pfalz,Ökonomierat Rebholz,https://www.vivino.com/US-CA/en/muskateller-trocken/w/1852418,https://images.vivino.com/thumbs/qx6G6cgkSGyZF3iZKJliag_pb_x600.png
1914810,Tinto,Spain,Valencia,Bodegas 6º Elemento - Vino Sexto Elemento,https://www.vivino.com/US-CA/en/tinto-comunitat-valenciana/w/1914810,https://images.vivino.com/thumbs/RvUvilAOTvaKRhFwpZxsyQ_pb_x600.png
1895060,Atlántico,Spain,Ribeiro,Bodegas El Paraguas,https://www.vivino.com/US-CA/en/atlantico/w/1895060,https://images.vivino.com/thumbs/QBq7swzNQSuJ3fTHC0lESA_pb_x600.png
86829,Don PX Gran Reserva,Spain,Montilla-Moriles,Toro Albalá,https://www.vivino.com/US-CA/en/don-px-gran-reserva/w/86829,https://images.vivino.com/thumbs/qAad7NzITH-si06g3x-uQQ_pb_x600.png
1289986,Nit de Nin Mas d'en Caçador,Spain,Priorat,Nin-Ortiz,https://www.vivino.com/US-CA/en/nit-de-nin-mas-d-en-cacador/w/1289986,https://images.vivino.com/thumbs/12Nu3ZY8SUuRF--PQSd8Bg_pb_x600.png
1686459,Coranya,Spain,Priorat,Sangenís I Vaqué,https://www.vivino.com/US-CA/en/coranya/w/1686459,https://images.vivino.com/thumbs/av83H_eyRfe6Uf6xBteBtw_pb_x600.png
97710,Les Manyes,Spain,Priorat,Terroir Al Límit Soc. Lda,https://www.vivino.com/US-CA/en/les-manyes/w/97710,https://images.vivino.com/thumbs/kZtwnYo3RqG0Rudo6EBrFw_pb_x600.png
3704,Terras Gauda O Rosal,Spain,Rías Baixas,Terras Gauda,https://www.vivino.com/US-CA/en/terras-gauda-o-rosal/w/3704,https://images.vivino.com/thumbs/5frEE-OmTymbFnlhFbTvzw_pb_x600.png
1265499,Arnau Oller Selecció de la Familia,Spain,Pla de Bages,Oller del Mas,https://www.vivino.com/US-CA/en/arnau-oller-seleccio-de-la-familia/w/1265499,https://images.vivino.com/thumbs/PzzluSYtRSOr2D37MEav8g_pb_x600.png
4883493,Pancrudo,Spain,Rioja,Gómez Cruzado,https://www.vivino.com/US-CA/en/pancrudo/w/4883493,https://images.vivino.com/thumbs/59Qsv3lpTh-qd2y5lgOPPA_pb_x600.png
21212,Toro Gran Elías Mora,Spain,Toro,Bodega Elias Mora,https://www.vivino.com/US-CA/en/toro-gran-elias-mora/w/21212,https://images.vivino.com/thumbs/Itu7caEwS2ixleHVCRAXnA_pb_x600.png
1662058,Viña Bosconia Reserva,Spain,Rioja Alta,R. López de Heredia Viña Tondonia,https://www.vivino.com/US-CA/en/vina-bosconia-reserva/w/1662058,https://images.vivino.com/thumbs/eDyHmY-EQcG28_Ezlpgq5A_pb_x600.png
99986,Clos del Portal Somni,Spain,Priorat,Portal del Priorat,https://www.vivino.com/US-CA/en/clos-del-portal-somni/w/99986,https://images.vivino.com/thumbs/1rnfQkuJSQG1v9jXmAZCgA_pb_x600.png
